2001 MARS ODYSSEY|ody

APOLLO 12|apollo_12,apollo
APOLLO 14|apollo_14,apollo
APOLLO 15|apollo_15,apollo
APOLLO 16|apollo_16,apollo
APOLLO 17|apollo_17,apollo

BEPICOLOMBO|bepicolombo
BRRISON|brrison

CASSINI-HUYGENS|cassini
CHANDRAYAAN-1|chandrayaan1
COMET SL9/JUPITER COLLISION|sl9_collision
CONTOUR MISSION|con

DAWN MISSION TO VESTA AND CERES|dawn
DEEP IMPACT|deep_impact
DEEP SPACE 1|ds1
DEEP SPACE PROGRAM SCIENCE EXPERIMENT|clem1

EPOXI|epoxi
EXOMARS 2016|exomars

GALILEO|galileo
GEOLOGIC REMOTE SENSING FIELD EXPERIMENT|grsfe
GIOTTO|giotto
GIOTTO EXTENDED MISSION|gem
GRAVITY RECOVERY AND INTERIOR LABORATORY|grail

HAYABUSA|hay
HST|hst

INFRARED ASTRONOMICAL SATELLITE|iras
INTERNATIONAL COMETARY EXPLORER|ice
INTERNATIONAL HALLEY WATCH|ihw
INTERNATIONAL ROSETTA MISSION|rosetta
INTERNATIONAL ULTRAVIOLET EXPLORER|iue
IUE|iue

JUNO|juno

LUNAR CRATER OBSERVATION AND SENSING SATELLITE|lcross
LUNAR PROSPECTOR|lp
LUNAR RECONNAISSANCE ORBITER|lro

MAGELLAN|mgn

MARINER69|mariner69
MARINER71|mariner71
MARINER 10|m10

MARS EXPLORATION ROVER|mer
MARS EXPRESS|mex
MARS GLOBAL SURVEYOR|mgs
MARS OBSERVER|mo
MARS PATHFINDER|pathfinder
MARS RECONNAISSANCE ORBITER|mro
MARS SCIENCE LABORATORY|msl

MESSENGER|mess
MIDCOURSE SPACE EXPERIMENT|msx

NEAR EARTH ASTEROID RENDEZVOUS|near
NEW HORIZONS|nh
NEXT|next

PIONEER|pioneer
PIONEER 8|pioneer_8,pioneer
PIONEER 9|pioneer_9,pioneer
PIONEER 10|pioneer_10,pioneer
PIONEER 11|pioneer_11,pioneer

PIONEER VENUS|pioneer_venus,pioneer
PHOBOS 2|phb2
PHOENIX|phx

SAKIGAKE|sakig

SATURN RING PLANE CROSSING 1995|saturn_ring_plane_crossing
SATURN OCCULTATION OF 28 SAGITTARIUS 1989|saturn_occultation_sagittarius
# Replace with HST?
SATURN SMALL SATELLITE ASTROMETRY|saturn_small_satellite_astrometry

SMALL MISSIONS FOR ADVANCED RESEARCH AND TECHNOLOGY|smart
SOLAR AND HELIOSPHERIC OBSERVATORY|soho
STARDUST|sdu
SUISEI|suisei

ULYSSES|uly

VEGA 1|vega1
VEGA 2|vega2
VENERA 15 AND 16|venera
VENUS CLIMATE ORBITER|vco
VENUS EXPRESS|vex
VIKING|viking
VOYAGER|voyager

GROUND BASED ATMOSPHERIC OBSERVATIONS|ground_based
EARTH|ground_based
PRE-MAGELLAN|ground_based
SUPPORT ARCHIVES|ground_based
